label,centros,type,competencias,lineas
1728,50005653,recm,"Competencia digital, Competencia en comunicación lingüística, Competencias sociales y cívicas,","Comunicación oral, Compromiso social, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1730,50005963,recm,"Competencias sociales y cívicas,","Compromiso social,"
1731,50009403,recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística,","Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento), Gestión de las emociones,"
1732,50018261,recm,"Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Metodologías activas, Comunicación oral,"
1733,50008605,recm,"Aprender a aprender, Competencia matemática y competencias básicas en ciencia y tecnología,","Compromiso social, Metodologías activas,"
1734,"50006141,5000614",recm,"Aprender a aprender, Competencia matemática y competencias básicas en ciencia y tecnología,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1735,50010041,recm,"Conciencia y expresiones culturales, Aprender a aprender,","Metodologías activas, Comunicación oral,"
1736,50018830,recm,"Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Comunicación oral, Metodologías activas,"
1738,50005963,recm,"Competencia en comunicación lingüística, Competencias sociales y cívicas, Competencia matemática y competencias básicas en ciencia y tecnología,","Compromiso social, Metodologías activas,"
1739,50005963,recm,"Competencia en comunicación lingüística, Competencias sociales y cívicas,","Comunicación oral, Metodologías activas,"
1740,50010193,recm,"Competencia en comunicación lingüística,","Metodologías activas, Comunicación oral,"
1741,50004053,recm,"Competencias sociales y cívicas, Conciencia y expresiones culturales,","Compromiso social, Gestión de las emociones, Metodologías activas,"
1742,"50011070,5001107",recm,"Aprender a aprender, Competencia en comunicación lingüística,","Comunicación oral, Metodologías activas,"
1743,50019251,recm,"Competencia en comunicación lingüística,","Comunicación oral, Gestión de las emociones,"
1744,"50002512,50002512,50002512",recm,"Competencias sociales y cívicas, Aprender a aprender,","Gestión de las emociones,"
1745,"50009129,5000913",recm,"Aprender a aprender, Competencia matemática y competencias básicas en ciencia y tecnología,","Compromiso social, Metodologías activas,"
1746,44003247,recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Sentido de la iniciativa y espíritu emprendedor,","Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1747,44004665,recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencias sociales y cívicas,","Compromiso social, Metodologías activas,"
1748,44004045,recm,"Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1749,44010100,recm,"Competencia en comunicación lingüística,","Comunicación oral,"
1750,22003835,recm,"Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Comunicación oral,"
1751,22002338,recm,"Aprender a aprender, Competencias sociales y cívicas,","Metodologías activas,"
1752,44003272,recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencia digital,","Metodologías activas, Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1753,44001159,recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencias sociales y cívicas,","Comunicación oral, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1754,44003107,recm,"Competencia en comunicación lingüística,","Comunicación oral, Metodologías activas,"
1755,44000325,recm,"Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Comunicación oral, Metodologías activas, Compromiso social,"
1756,44003090,recm,"Competencia en comunicación lingüística, Competencias sociales y cívicas,","Metodologías activas, Comunicación oral, Compromiso social,"
1757,44003120,recm,"Competencia digital, Competencia en comunicación lingüística,","Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento), Gestión de las emociones,"
1758,44004628,recm,"Aprender a aprender,","Metodologías activas,"
1759,50005872,recm,"Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencia digital,","Gestión de las emociones, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1761,"50006025,5000603",recm,"Conciencia y expresiones culturales, Competencias sociales y cívicas,","Compromiso social, Gestión de las emociones,"
1762,50018817,recm,"Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencia digital,","Comunicación oral, Gestión de las emociones, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1763,50011288,recm,"Aprender a aprender, Competencia digital, Competencia matemática y competencias básicas en ciencia y tecnología, Conciencia y expresiones culturales,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1764,50009415,recm,"Competencia digital, Competencia matemática y competencias básicas en ciencia y tecnología,","TAC (Tecnologías del Aprendizaje y del Conocimiento), Metodologías activas,"
1765,50004545,recm,"Competencia en comunicación lingüística, Competencia digital, Competencias sociales y cívicas, Competencia matemática y competencias básicas en ciencia y tecnología,","Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento), Metodologías activas,"
1766,50017710,recm,"Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencia digital,","Comunicación oral, Metodologías activas, Gestión de las emociones,"
1767,50017072,recm,"Competencia en comunicación lingüística, Competencia digital, Competencia matemática y competencias básicas en ciencia y tecnología,","Comunicación oral, Metodologías activas,"
1768,50006578,recm,"Competencias sociales y cívicas,","Metodologías activas,"
1769,22001437,recm,"Aprender a aprender,","Metodologías activas,"
1770,44004239,recm,"Competencias sociales y cívicas, Aprender a aprender,","Metodologías activas, Compromiso social, Gestión de las emociones,"
1771,44005116,recm,"Competencia matemática y competencias básicas en ciencia y tecnología, Competencia en comunicación lingüística, Competencias sociales y cívicas,","Metodologías activas, Compromiso social,"
1772,44005062,recm,"Aprender a aprender, Competencia digital, Conciencia y expresiones culturales,","Gestión de las emociones, Metodologías activas,"
1773,50000163,recm,"Competencias sociales y cívicas, Aprender a aprender,","Compromiso social, Metodologías activas,"
1774,50001167,recm,"Competencia en comunicación lingüística, Competencia digital, Conciencia y expresiones culturales,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento), Comunicación oral,"
1775,"50010041,5001004",recm,"Competencias sociales y cívicas,","Compromiso social, Metodologías activas,"
1776,50006414,recm,"Competencia digital, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología,","TAC (Tecnologías del Aprendizaje y del Conocimiento), Metodologías activas,"
1777,50010181,recm,"Conciencia y expresiones culturales, Competencias sociales y cívicas,","Gestión de las emociones, Metodologías activas,"
1778,50009211,recm,"Competencias sociales y cívicas, Competencia en comunicación lingüística, Aprender a aprender,","Compromiso social, Comunicación oral, Metodologías activas,"
1779,50017886,recm,"Competencias sociales y cívicas, Aprender a aprender,","Gestión de las emociones,"
1780,50005926,recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencia digital, Competencias sociales y cívicas,","Compromiso social, Comunicación oral, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1781,50005926,recm,"Competencia en comunicación lingüística, Conciencia y expresiones culturales, Aprender a aprender,","Comunicación oral, Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1782,50010478,recm,"Aprender a aprender, Competencia en comunicación lingüística,","Gestión de las emociones, Metodologías activas,"
1783,50009531,recm,"Competencia matemática y competencias básicas en ciencia y tecnología,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1784,50007236,recm,"Aprender a aprender, Competencia digital, Conciencia y expresiones culturales,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1785,50008691,recm,"Competencias sociales y cívicas, Conciencia y expresiones culturales, Aprender a aprender,","Gestión de las emociones, Metodologías activas,"
1787,50005963,recm,"Competencias sociales y cívicas, Aprender a aprender, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología,","Compromiso social, Comunicación oral, Metodologías activas, Gestión de las emociones,"
1788,50005963,recm,"Competencia en comunicación lingüística, Competencias sociales y cívicas, Conciencia y expresiones culturales,","Compromiso social, Comunicación oral, Gestión de las emociones,"
1789,50005963,recm,"Aprender a aprender, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencia digital, Competencias sociales y cívicas, Conciencia y expresiones culturales,","Compromiso social, Comunicación oral, Gestión de las emociones, Metodologías activas,"
1790,50005963,recm,"Competencias sociales y cívicas, Aprender a aprender, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología,","Compromiso social, Comunicación oral, Metodologías activas,"
1791,50005963,recm,"Aprender a aprender, Competencia digital, Competencia en comunicación lingüística, Competencias sociales y cívicas, Conciencia y expresiones culturales,","Comunicación oral, Gestión de las emociones, Metodologías activas,"
1792,50005550,recm,"Aprender a aprender,","Metodologías activas,"
1793,"50006025,5000603",recm,"Aprender a aprender,","Metodologías activas,"
1794,50019287,recm,"Aprender a aprender,","Metodologías activas,"
1795,50009385,recm,"Aprender a aprender,","Metodologías activas,"
1796,50018246,recm,"Aprender a aprender,","Metodologías activas,"
1797,50018830,recm,"Aprender a aprender,","Metodologías activas,"
1798,50009208,recm,"Aprender a aprender,","Metodologías activas,"
1799,50006281,recm,"Aprender a aprender,","Metodologías activas,"
1800,50006165,recm,"Aprender a aprender,","Metodologías activas,"
1801,"50009397,500094",recm,"Aprender a aprender,","Metodologías activas,"
1802,50006141,recm,"Aprender a aprender,","Metodologías activas,"
1803,50006153,recm,"Aprender a aprender,","Metodologías activas,"
1804,50019081,recm,"Aprender a aprender,","Metodologías activas,"
1805,50010399,recm,"Aprender a aprender,","Metodologías activas,"
1806,50005914,recm,"Aprender a aprender,","Metodologías activas,"
1807,50009531,recm,"Aprender a aprender,","Metodologías activas,"
1808,50008691,recm,"Aprender a aprender,","Metodologías activas,"
1809,50010193,recm,"Aprender a aprender,","Metodologías activas,"
1810,50017072,recm,"Aprender a aprender,","Metodologías activas,"
1811,50017710,recm,"Aprender a aprender,","Metodologías activas,"
1812,50009944,recm,"Aprender a aprender,","Metodologías activas,"
