label,webproyecto,responsables,contacto,institucional,pagina,type,link
Entusiasmat,http://www.cristorey.zaragoza.escolapiosemaus.org/informacion/innovacion/entusiasmat,Isaac M. Pérez Aisa,,0,1614,rec,https://www.youtube.com/watch?v=DA9-voOqrPU
Escritura creativa,,Lorenzo Asín Grasa,,0,1920,rec,Escritura creativa.jpg
Escuela Infantil Municipal “El Bosque”,,,,0,1373,rec,https://youtu.be/6FT2lvTJ90A
Esos pequeños pueblos,,José Ángel Camarasa,,0,1698,rec,https://youtu.be/trucc2-A-Gc
Expertos en el aula,,,,1,1419,rec,https://youtu.be/Zyk5gnj_VIk
Fernando el Católico Happy,http://cpfec.blogspot.com.es/,Mercedes Merlo Rodríguez,,0,1739,rec,https://youtu.be/Q_Txe_bjf-0
First Primary ARTS Project,,Cristina Vallés,,1,1908,rec,https://vimeo.com/165299707
Flipped Learning en la Educación de Adultos,,Raquel Juan Morera - Coordinadora.,,0,1883,rec,https://www.youtube.com/watch?v=NkQfAAQdStE
Flipped School,,Mª Carmen Martinez,,1,1502,rec,https://youtu.be/fwQAcUrBwkI
"Geología, plataforma para la innovación educativa en el ámbito de las Ciencias de la Naturaleza.",,,,0,1904,rec,https://youtu.be/QunhgfOIDTE
Grupo de padres Leer Juntos CEIP Infanta Elena,,Lola Laorden.,,1,1879,rec,Leerjuntos-300x169.jpg
GRUPOS INTERACTIVOS,http://cpfec.blogspot.com.es/,Claustro de profesores del CEIP Fernando el Católico de Zaragoza.,,0,1790,rec,https://www.youtube.com/watch?v=fWqgWtHRrh0&amp;t=89s
Grupos Interactivos CRA Mezquín,,,,0,1882,rec,https://www.youtube.com/watch?v=bsLKzW7v4mg&amp;feature=youtu.be
Grupos Interactivos en el Domingo Miral,,Equipo Directivo y Didáctico de 1º y 2º de Educación Primaria,,1,1656,rec,https://youtu.be/iV7PsGkHYkw
Grupos Interactivos: Otra Forma De Aprender Y Compartir,,,,1,1370,rec,https://youtu.be/K1uPEOb5ViA
Hacia la integración del alumnado con espectro autista,,,,0,1421,rec,https://youtu.be/5IQIUIOGrp0
Hacia un colegio cooperativo,http://arablogs.catedu.es/blog.php?id_blog=1194&amp;amp;pg=0&amp;amp;id_categoria=6455,,,1,1443,rec,
Hacia Una Escuela Más Inclusiva Que Mejore La Convivencia,,,,1,1435,rec,https://youtu.be/tsuq4sHrfnA
Haciendo camino,,,,1,1349,rec,https://youtu.be/DqYFZP_eesM
Hands on Through English,,,,1,1403,rec,https://youtu.be/fdm_7x3gWfc
Happy Piaget,,,,0,1340,rec,https://youtu.be/2QzXdqiO3mA
Hoy quiero ser feliz,http://ceipramirosolans.catedu.es/,,,0,1785,rec,https://youtu.be/WLC05sEU0KI
Huerto escolar,http://convocatorias.educa.aragon.es/formulario/upload/IEPR2015160047-301339_HUERTO%20EDUCATIVO_IESCONDEARANDA.pdf,,,0,1773,rec,
In other words,http://chabacier.es/es/,Blanca Langa Hernández,,0,1774,rec,https://youtu.be/IM1E_7JICGY
Inclusión Y Convivencia Un Proyecto Global En El Ies Rodanas,,,,0,1430,rec,https://youtu.be/nfWGb6KXvRw
Innova CEIP Cella,http://ceipmiguelblascovilatela.catedu.es/wp-content/uploads/2016/03/PROYECTOSINENLACES.pdf,,,0,1753,rec,
Innovando En El Cra Matarranya,,,,1,1378,rec,https://youtu.be/-f-DPEfOAb0
Instalaciones matemáticas en educación infantil,,,,0,1734,rec,https://youtu.be/j4714-dRiUg
La fiesta de cumpleaños,,,,0,1341,rec,https://youtu.be/Q9osa8HrZQs
La Misión De La Pajarita,,,,0,1413,rec,https://youtu.be/k7DlrEBzRso
La sombra del drone,,,,0,1351,rec,https://youtu.be/g7nkIJgjRQE
La vuelta al mundo. Le tour du monde,,Natalia Belsué,,0,1732,rec,https://youtu.be/5JkBh4Gwdi4
Las Tic en el aula:Innovación interacción,,,,0,1350,rec,https://youtu.be/ZbgAcV5WoeU
Línea 54,iesvaldespartera.catedu.es,Cristina Bohanna Pablo,,0,1936,rec,https://youtu.be/eHc2JUgbntg
Le cinema des 5 ans,,,,0,1356,rec,https://youtu.be/K89OBFxlyUs
Lecturas rimadas por Navidad,,Comisión de Biblioteca,,1,1688,rec,https://vimeo.com/165408050
LEER PARA VIVIR,,Jesús Gil Alejandre y Mª Del Rosario Gómez Ortega,,0,1637,rec,Leer para vivir ATECA.pdf
"Leer, escribir y hablar para cambiar",https://leerescribirhablarblog.wordpress.com/,Yolanda Hernández,,0,1749,rec,https://youtu.be/wECiOktoowY
Lipdub - corazón contento,,,,0,1424,rec,https://youtu.be/edAj1fujhJY
LIPDUB FERNANDO EL CATÓLICO,,,,0,1404,rec,https://youtu.be/Q_Txe_bjf-0
Los no libros,https://sites.google.com/site/nolibrosfrancesdearanda/,Mª Teresa Asensio Posadas,,0,1746,rec,https://youtu.be/enk5LxgNBEs
Los sonidos del Reino,,,,1,1441,rec,MEMORIA CONCURSO BUENAS PRACTICAS INFANTIL.pdf
