label	ComposerLast	ComposerFirst	Composer	Work	Conductor	Performed	TimesPerf	NumConcerts	CumNumConcerts	NumHSOConcerts	CumNumHSOConcerts	Decade	First Date	Date	DayMonth	Year	Soloists	Comments	Venue	ConcertType	Chorus Conductor	Season	Sponsorship	Rating
Stravinsky - Symphony of Psalms 1991-10-05	Stravinsky	Igor    	"Stravinsky, Igor"	Symphony of Psalms	"McGegan, Nicholas"	True	3	3	48	3	45	1990	10/5/1991	1991-10-05	5/6/7-Oct	1991		                                                                                                     .	Houston	Classical	"Hausmann, Charles"	91-92	HSO	***
Porter - Selections 1991-11-07	Porter	Cole    	"Porter, Cole"	Selections	"Wayland, Newton"	False	0	0	48	0	45	1990	11/7/1991	1991-11-07	7/8/9-Nov	1991	"Pamela Brooks (s), Benoit Boutet (t), Richard Paul Fink (bar)"	Some members of U of H choruses participated.	Houston	Pops	"Hausmann, Charles"	91-92	HSO	
Various - Christmas Pops 1991-12-11	Various		Various	Christmas Pops	"Post, Arthur"	True	5	5	53	5	50	1990	12/11/1991	1991-12-11	11/13/14/15/15-Dec	1991	"Dawn Uebelhart (s), Patricia Johnson (s), U of H Chamber Singers"	All concerts at Jones Hall. Dec 11 was Conoco Christmas Party. A planned Mon Dec 16 concert was cancelled.	Houston	Pops	"Hausmann, Charles"	91-92	HSO	***
Offenbach - Tales of Hoffman 1991-12-11	Offenbach	Jacques	"Offenbach, Jacques"	Tales of Hoffman	"Post, Arthur"	True	5	0	53	0	50	1990	12/11/1991	1991-12-11	11/13/14/15/15-Dec	1991		"Sang Chorus and Olympias Aria, as part of 1991 Christmas Pops. 11-Dec was Conoco Christmas Party."	Houston	Opera	"Hausmann, Charles"	91-92	HSO	
Handel - Messiah 1991-12-19	Handel	George Frideric	"Handel, George Frideric"	Messiah	"Seaman, Christopher"	True	4	4	57	4	54	1990	12/19/1991	1991-12-19	19/20/21/22-Dec	1991	"Carol Chickering (s), Sandra Walker (ms), Karl Dent (t), Jan Opelach (bbar)"	"Concerts at Jones Hall (Dec 19 (noon), 20 (8PM), 21(8PM)), and First Methodist Church (Dec 22). A planned Dec 19 concert in Galveston was replaced by an abbreviated (one hour) Thursday noon concert in Jones Hall Houston."	Houston	Classical	"Hausmann, Charles"	91-92	HSO	*****
Mendelssohn - Elijah 1992-02-29	Mendelssohn	Felix    	"Mendelssohn, Felix"	Elijah	"Shaw, Robert"	True	3	3	60	3	57	1990	2/29/1992	1992-02-29	"29-Feb,1/2-Mar"	1992	"Christine Brewer (s), Nancy Maultsby, (ms), Karl Dent (t), William Stone (b), Michael Peacock (boy soprano)"		Houston	Classical	"Hausmann, Charles"	91-92	HSO	***
Brahms - Alto Rhapsody 1992-03-21	Brahms	Johannes    	"Brahms, Johannes"	Alto Rhapsody	"Eschenbach, Christoph"	True	3	3	63	3	60	1990	3/21/1992	1992-03-21	21/22/23-Mar	1992	Dunja Vejzovic (a)	Men of the Chorus. Recorded with Symphony and Vejzovic on 24-Mar-1992	Houston	Classical	"Hausmann, Charles"	91-92	HSO	***
"Brahms - Schicksalslied, ""Song of Destiny"" 1992-03-21"	Brahms	Johannes    	"Brahms, Johannes"	"Schicksalslied, ""Song of Destiny"""	"Eschenbach, Christoph"	True	3	0	63	0	60	1990	3/21/1992	1992-03-21	21/22/23-Mar	1992			Houston	Classical	"Hausmann, Charles"	91-92	HSO	***
Brahms - Alto Rhapsody 1992-03-24	Brahms	Johannes    	"Brahms, Johannes"	Alto Rhapsody	"Eschenbach, Christoph"	True	1	1	64	1	61	1990	3/24/1992	1992-03-24	24-Mar	1992	Dunja Vejzovic (a)	Men of the Chorus. Recorded Alto Rhapsody with Symphony and Vejzovic	Houston	Recording	"Hausmann, Charles"	91-92	HSO	***
Verdi - Requiem 1992-05-16	Verdi	Giuseppe    	"Verdi, Giuseppe"	Requiem	"Eschenbach, Christoph"	True	3	3	67	3	64	1990	5/16/1992	1992-05-16	16/17/19-May	1992	"Shinobu Satoh (s), Florence Quivar (ms), Kaludi Kaludow (t), Paul Plishka (b)"	Some members of U of H choruses participated.	Houston	Classical	"Hausmann, Charles"	91-92	HSO	****
